Informazioni cronologiche;Sesso;Età;Provincia di residenza;Titolo di studio;A quale canale appartiene il tuo supermercato di fiducia?;Con quale frequenza ti rechi a fare la spesa?;Avevi già sentito parlare di Responsabilità Sociale d’Impresa?;Che cos’è secondo te un’azienda socialmente responsabile?;Secondo te quali di queste dovrebbe essere la responsabilità primaria di un’impresa:;Secondo te le imprese che seguono le politiche di RSI lo fanno perché:;Sceglieresti comunque un supermercato dove fare la tua spesa sapendo che esso non sostiene alcuna causa sociale?;Sei a conoscenza di iniziative a sostegno di cause sociali intraprese dal tuo supermercato di fiducia?;Essere a conoscenza di tali iniziative rappresenta un incentivo nella scelta di un supermercato rispetto ad altri concorrenti?;Secondo te il tuo supermercato di fiducia comunica adeguatamente le sue attività a sostegno di cause sociali?;Saresti interessato a saperne di più sulla RSI dell’azienda che gestisce il tuo supermercato di fiducia?;Secondo te il tuo supermercato di fiducia può essere definito un’impresa socialmente responsabile?;Se hai risposto Sì alla domanda precedente, indica una motivazione:;Se invece hai risposto No, indica una motivazione:;Quale azione dovrebbe intraprendere il tuo supermercato di fiducia per migliorare le sue attività di responsabilità sociale?;Qual è secondo te lo strumento più utile per la comunicazione di pratiche di RSI, soprattutto per farle conoscere al consumatore?
11/1/2017 19:08:54;Femmina;18-24;Catania;Laurea triennale;Iperfamila;Tre volte a settimana;Sì;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Sostegno ad associazioni no profit;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Report su sito web
11/1/2017 19:15:00;Femmina;18-24;Messina;Laurea magistrale;Iperfamila;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, per niente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;Appoggio scarso o del tutto mancante ad enti no profit;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:15:20;Femmina;25-35;Catania;Laurea magistrale;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Facebook
11/1/2017 19:15:49;Maschio;18-24;Catania;Diploma superiore;Iperfamila;Ci va mia mamma;No;Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, sempre;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Non saprei;Sì, abbastanza;No, non mi interessa molto;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:17:26;Maschio;18-24;Catania;Diploma superiore;A&O;Una volta a settimana;Sì;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, per niente;Sì, abbastanza;Non saprei;;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:25:31;Femmina;18-24;Catania;Diploma superiore;Famila;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;No, mai;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:26:26;Femmina;18-24;Catania;Diploma superiore;Famila;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:28:11;Femmina;25-35;Catania;Laurea triennale;Famila;Tre volte a settimana;Sì;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Codice etico
11/1/2017 19:29:08;Maschio;18-24;Catania;Diploma superiore;Famila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/1/2017 19:29:45;Maschio;18-24;Catania;Diploma superiore;ARD;Tutti i giorni;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:33:37;Femmina;36-50;Catania;Diploma superiore;Famila;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:35:14;Maschio;Over 50;Catania;Diploma superiore;Famila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, abbastanza;No, le attività che intraprende sono poche o del tutto mancanti;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Codice etico
11/1/2017 19:35:26;Femmina;25-35;Catania;Licenza media;ARD;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Non saprei;Sì, abbastanza;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/1/2017 19:35:50;Femmina;Over 50;Catania;Diploma superiore;Iperfamila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Promuovere iniziative a tutela dell’ambiente;Comunicazione diretta al cliente in sede
11/1/2017 19:38:03;Femmina;36-50;Catania;Diploma superiore;A&O;Tre volte a settimana;Sì;Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;No, non mi interessa molto;Non saprei;;non so;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:39:31;Maschio;Over 50;Catania;Diploma superiore;A&O;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;No, mai;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, per niente;No, non mi interessa molto;Non saprei;;Scarsa attenzione e cura del rapporto con il cliente;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/1/2017 19:39:57;Femmina;36-50;Catania;Laurea magistrale;Iperfamila;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;No, anche se ne avessi necessità;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, per niente;Sì, abbastanza;Non saprei;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:42:09;Maschio;25-35;Catania;Diploma superiore;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/1/2017 19:42:21;Femmina;25-35;Catania;Licenza media;A&O;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;No, non mi interessa molto;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/1/2017 19:43:15;Femmina;36-50;Catania;Laurea magistrale;Famila;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Non saprei;No, non in modo sufficiente;No, non mi interessa molto;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/1/2017 19:45:05;Femmina;Over 50;Catania;Diploma superiore;Iperfamila;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Report su sito web
11/1/2017 19:45:29;Maschio;Over 50;Catania;Diploma superiore;A&O;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;No, anche se ne avessi necessità;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:45:36;Femmina;36-50;Catania;Diploma superiore;A&O;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;No, mai;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, molto;Non saprei;;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/1/2017 19:47:36;Femmina;Over 50;Catania;Diploma superiore;Famila;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, sempre;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;No, le attività che intraprende sono poche o del tutto mancanti;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:47:49;Femmina;36-50;Catania;Licenza media;A&O;Tutti i giorni;Sì;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Controllo dei prodotti;Ci credono veramente;Sì, sempre;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;No, le attività che intraprende sono poche o del tutto mancanti;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Report su sito web
11/1/2017 19:49:01;Femmina;18-24;Catania;Diploma superiore;Iperfamila;Una volta a settimana;No;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;;Appoggio scarso o del tutto mancante ad enti no profit;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 19:56:19;Maschio;36-50;Catania;Diploma superiore;ARD;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, sempre;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;;Non ne ho mai sentito parlare prima;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:57:18;Femmina;18-24;Catania;Diploma superiore;Iperfamila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Non saprei;No, non in modo sufficiente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Report su sito web
11/1/2017 19:58:34;Femmina;18-24;Catania;Diploma superiore;Famila;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Sostegno ad associazioni no profit;Ci credono veramente;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/1/2017 19:58:55;Maschio;Over 50;Catania;Laurea magistrale;Famila;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Codice etico
11/1/2017 20:00:50;Femmina;Over 50;Catania;Laurea magistrale;A&O;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, per niente;No, non mi interessa molto;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Report su sito web
11/1/2017 20:00:53;Femmina;Over 50;Catania;Laurea magistrale;A&O;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, per niente;No, non mi interessa molto;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Report su sito web
11/1/2017 20:00:55;Femmina;36-50;Catania;Licenza media;Iperfamila;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/1/2017 20:01:04;Maschio;18-24;Catania;Diploma superiore;Famila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 20:01:07;Femmina;25-35;Catania;Laurea magistrale;Iperfamila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/1/2017 20:02:45;Maschio;36-50;Catania;Diploma superiore;A&O;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/1/2017 20:03:41;Femmina;36-50;Catania;Licenza media;ARD;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
